"Name","State","Loss","Train Accuracy","Test Accuracy","F1 Score"
"pretrained_224","finished","127.9558581635356","94.392","90.52","0.906981974828088"
"modified_pretrained_3","finished","248.48513223975897","89.038","87.15","0.8737457484989917"
"scratch_224","finished","278.88423608988523","87.552","86.4","0.8654238423024967"
"modified_pretrained_2","finished","292.0837636142969","87.25","83.79","0.8405609185306152"
"modified_scratch_3","finished","359.1949611157179","83.914","82.97","0.8309525185113181"
"modified_pretrained_1","finished","315.3986167162657","86.074","81.44","0.8193118849365906"
"pretrained","finished","347.02947829663754","84.626","81.01","0.8130629437195108"
"modified_scratch_1","finished","371.225474730134","83.494","80.29","0.8101820678852322"
"modified_scratch_2","finished","362.2898588478565","83.804","77.67","0.7837141966492132"
"scratch","finished","460.65271696448326","79.38","73.78","0.7481857295222352"
